"lng" "lat" "bikes" "free" "term.name" "idx"
"1" -77.0512 38.8561 8 3 31000 0
"2" -77.05332 38.85725 6 5 31001 1
"3" -77.0492 38.8564 10 5 31002 2
"4" -77.049593 38.86017 8 3 31003 3
"5" -77.05949 38.857866 6 5 31004 4
"6" -77.059936 38.862303 12 7 31005 5
"7" -77.0633 38.8637 5 6 31006 6
"8" -77.0511 38.8573 9 9 31007 7
"9" -77.0528 38.8629 5 6 31008 8
"10" -77.051516 38.848441 7 12 31009 9
"11" -77.0502 38.8426 7 4 31010 10
"12" -77.0498 38.8533 7 10 31011 11
"13" -77.05152 38.850688 4 7 31012 12
"14" -77.0429 38.9003 8 7 31100 13
"15" -77.0321 38.9176 20 7 31101 14
"16" -77.027822 38.929464 13 14 31102 15
"17" -77.036536 38.926088 13 20 31103 16
"18" -77.042581 38.922925 9 6 31104 17
"19" -77.0322 38.9268 11 8 31105 18
"20" -77.047637 38.923203 14 9 31106 19
"21" -77.0388 38.9319 8 11 31107 20
"22" -77.0178 38.8767 8 15 31108 21
"23" -77.034438 38.90985 5 14 31201 22
"24" -77.031681 38.912682 12 3 31202 23
"25" -77.0323 38.9086 6 17 31203 24
"26" -77.045 38.8963 6 9 31204 25
"27" -77.047 38.9008 13 22 31205 26
"28" -77.024649 38.936043 7 8 31400 27
"29" -77.0328 38.9375 8 3 31401 28
"30" -76.9955 38.9346 7 4 31502 29
"31" -77.019027 38.90304 6 13 31600 30
"32" -76.9769 38.8896 11 4 31601 31
"33" -77.0315 38.9308 8 11 31602 32
"34" -76.9672 38.8601 5 6 31700 33
"35" -77.057979 38.934267 6 4 31305 34
"36" -76.9607 38.878 6 5 31702 35
"37" -76.947446 38.897063 5 6 31703 36
"38" -76.941877 38.901385 6 5 31704 37
"39" -76.994637 38.862669 7 4 31801 38
"40" -76.988039 38.867373 7 4 31802 39
"41" -77.0436 38.8952 4 7 31206 40
"42" -77.000624 38.919488 7 4 31500 41
"43" -77.0259 38.9172 12 3 31111 42
"44" -77.0222 38.9249 4 7 31207 43
"45" -77.0057 38.8743 6 17 31209 44
"46" -77.0446 38.9154 10 4 31110 45
"47" -77.0222 38.9155 9 6 31109 46
"48" -77.053535 38.853613 5 6 31013 47
"49" -77.0037 38.8763 6 11 31208 48
"50" -77.0444 38.9101 23 21 31200 49
"51" -77.0056 38.9057 8 7 31603 50
"52" -77.046774 38.90534 10 9 31212 51
"53" -77.03863 38.90276 17 2 31213 52
"54" -77.016 38.9003 0 15 31604 53
"55" -77.0023 38.8851 8 3 31605 54
"56" -76.9862 38.8803 12 3 31606 55
"57" -76.9861 38.884 10 5 31607 56
"58" -77.0387 38.9121 1 18 31214 57
"59" -77.063896 38.944551 10 5 31300 58
"60" -77.0135 38.9126 7 8 31503 59
"61" -76.9953 38.8792 6 5 31608 60
"62" -77.087171 38.938736 9 5 31301 61
"63" -77.074647 38.934751 9 6 31302 62
"64" -77.032818 38.947774 5 6 31402 63
"65" -76.9784 38.865784 7 4 31804 64
"66" -76.971015 38.873057 5 6 31805 65
"67" -76.996806 38.886952 10 5 31610 66
"68" -77.032005 38.899641 4 15 31216 67
"69" -76.947974 38.894 7 4 31705 68
"70" -77.028226 38.887237 7 32 31217 69
"71" -77.059219 38.902221 9 10 31215 70
"72" -76.991016 38.933668 8 3 31501 71
"73" -77.046587 38.894919 15 0 31220 72
"74" -77.022241 38.886266 5 10 31218 73
"75" -77.026013 38.893028 5 25 31219 74
"76" -77.054845 38.895184 7 4 31211 75
"77" -76.995397 38.884 10 9 31613 76
"78" -77.041606 38.904742 5 14 31221 77
"79" -77.079382 38.947607 11 4 31303 78
"80" -76.9882 38.9003 22 5 31611 79
"81" -77.019347 38.897222 7 23 31620 80
"82" -77.0337 38.8991 7 8 31222 81
"83" -77.022264 38.90572 8 10 31223 82
"84" -77.043358 38.927872 5 10 31112 83
"85" -77.043648 38.903407 6 9 31224 84
"86" -77.06269 38.90375 12 11 31225 85
"87" -77.024016 38.878925 13 6 31609 86
"88" -76.997114 38.894758 12 11 31612 87
"89" -77.0682 38.916442 3 8 31226 88
"90" -77.029822 38.900283 6 17 31227 89
"91" -77.023086 38.8997 6 27 31228 90
"92" -76.992889 38.932514 7 2 31504 91
"93" -77.00495 38.910972 8 3 31505 92
"94" -76.99831 38.900384 11 11 31615 93
"95" -77.001949 38.900412 8 11 31616 94
"96" -76.982872 38.900413 6 9 31617 95
"97" -77.000349 38.889955 7 4 31618 96
"98" -76.988355 38.890461 11 12 31619 97
"99" -76.9599 38.8692 4 7 31701 98
"100" -76.987633 38.894832 15 16 31622 99
"101" -77.03818 38.91554 1 22 31229 100
"102" -77.027869 38.898364 7 24 31230 101
"103" -77.031617 38.894514 13 12 31231 102
"104" -77.022322 38.897324 10 9 31232 103
"105" -77.038322 38.902061 9 17 31233 104
"106" -77.04478 38.908905 3 16 31234 105
"107" -77.016106 38.895344 13 2 31621 106
"108" -77.0436 38.8923 9 26 31235 107
"109" -77.071652 38.90774 5 18 31236 108
"110" -76.991383 38.899983 16 3 31614 109
"111" -77.053485 38.903827 4 11 31237 110
"112" -77.00493 38.89696 23 8 31623 111
"113" -77.009888 38.897446 8 15 31624 112
"114" -77.027137 38.905607 1 18 31266 113
"115" -77.070334 38.922581 10 5 31304 114
"116" -77.031823 38.898069 4 19 31238 115
"117" -77.050537 38.844015 19 4 31052 116
"118" -77.04657 38.88412 9 14 31240 117
"119" -77.026975 38.897857 4 11 31262 118
"120" -77.049882 38.896104 2 17 31260 119
"121" -77.070993 38.897315 8 10 31014 120
"122" -77.072305 38.8946 7 8 31015 121
"123" -77.076701 38.893648 3 8 31016 122
"124" -77.0846 38.891696 13 2 31017 123
"125" -77.079375 38.892164 8 3 31018 124
"126" -76.952103 38.86559 8 7 31706 125
"127" -77.046567 38.892459 1 14 31261 126
"128" -77.0925 38.889 5 10 31019 127
"129" -77.04368 38.920669 7 12 31113 128
"130" -77.038785 38.906602 17 6 31239 129
"131" -77.0325 38.9059 21 12 31241 130
"132" -77.0889 38.8904 6 5 31020 131
"133" -77.09308 38.8881 8 6 31021 132
"134" -77.094875 38.88786 6 10 31022 133
"135" -77.041539 38.89968 8 7 31242 134
"136" -77.018939 38.887299 19 20 31243 135
"137" -77.017445 38.88412 11 8 31244 136
"138" -77.001828 38.881185 9 10 31625 137
"139" -77.022155 38.912719 14 1 31245 138
"140" -77.0251 38.9418 10 5 31404 139
"141" -77.012289 38.915417 2 13 31506 140
"142" -77.02344 38.928156 10 9 31115 141
"143" -77.04062 38.917761 7 12 31116 142
"144" -76.93723 38.889935 8 11 31707 143
"145" -77.055599 38.930282 10 5 31307 144
"146" -76.96012 38.896544 7 8 31708 145
"147" -77.056887 38.905126 5 14 31246 146
"148" -76.983569 38.88732 11 4 31626 147
"149" -76.987823 38.844711 1 14 31806 148
"150" -77.107735 38.876393 7 4 31035 149
"151" -77.10396 38.8815 6 5 31033 150
"152" -77.086502 38.896923 13 2 31029 151
"153" -77.02674 38.90268 4 15 31263 152
"154" -77.097745 38.885801 5 6 31023 153
"155" -77.078107 38.896015 7 4 31027 154
"156" -77.006004 38.87861 9 6 31628 155
"157" -77.077271 38.922649 10 9 31306 156
"158" -77.012457 38.928743 11 4 31507 157
"159" -77.103148 38.882788 5 14 31024 158
"160" -77.10783 38.88397 6 5 31025 159
"161" -77.093485 38.884734 7 8 31026 160
"162" -77.032429 38.888553 3 20 31247 161
"163" -77.02858 38.888767 8 15 31248 162
"164" -77.1207 38.87887 8 7 31036 163
"165" -77.01994 38.894573 12 7 31264 164
"166" -77.086045 38.893241 7 4 31028 165
"167" -77.089006 38.89593 10 5 31030 166
"168" -77.08095 38.89054 5 6 31031 167
"169" -77.091129 38.880834 5 6 31032 168
"170" -77.111768 38.881044 9 10 31037 169
"171" -77.109366 38.882629 8 3 31034 170
"172" -77.037413 38.879819 2 21 31249 171
"173" -76.985238 38.866611 6 9 31803 172
"174" -77.116817 38.883921 8 3 31038 173
"175" -77.107673 38.880151 8 3 31039 174
"176" -77.10108 38.884616 3 8 31040 175
"177" -76.9941 38.90509 7 12 31508 176
"178" -77.044789 38.903584 6 13 31250 177
"179" -77.0284 38.903819 7 12 31251 178
"180" -77.046564 38.901539 7 12 31252 179
"181" -77.04337 38.902204 6 17 31253 180
"182" -77.040363 38.803124 8 11 31041 181
"183" -77.043363 38.804718 2 13 31042 182
"184" -77.044664 38.810743 7 6 31043 183
"185" -77.049883 38.805317 6 9 31044 184
"186" -77.03353 38.902 7 12 31254 185
"187" -77.05293 38.805648 9 6 31045 186
"188" -77.050276 38.811456 8 9 31046 187
"189" -77.052808 38.814577 8 11 31047 188
"190" -77.06072 38.805767 9 10 31048 189
"191" -77.05152 38.9066 8 7 31255 190
"192" -77.026064 38.895914 11 4 31256 191
"193" -77.048911 38.90088 4 11 31257 192
"194" -77.113905 38.883669 8 3 31049 193
"195" -77.08777 38.884961 6 5 31050 194
"196" -77.077294 38.889365 7 4 31051 195
"197" -77.049426 38.888251 9 16 31258 196
"198" -77.045128 38.894722 3 12 31259 197
"199" -77.018677 38.90093 12 7 31265 198
"200" -77.077078 38.943837 10 5 31308 199
"201" -77.082426 38.954812 8 7 31309 200
"202" -77.003041 38.905707 14 9 31627 201
"203" -77.080319 38.863833 9 6 31053 202
"204" -77.086733 38.857803 7 4 31054 203
"205" -77.069275 38.846222 13 2 31055 204
"206" -77.041571 38.918809 9 14 31114 205
"207" -77.019815 38.956595 5 10 31403 206
"208" -77.027333 38.949662 12 7 31405 207
"209" -77.032652 38.942016 16 3 31406 208
"210" -77.032947 38.956432 11 8 31407 209
"211" -77.075104 38.847977 7 4 31056 210
"212" -77.085931 38.8444 6 5 31057 211
"213" -77.09586 38.860789 3 8 31058 212
"214" -77.094295 38.835213 5 5 31059 213
"215" -77.089555 38.84232 4 11 31060 214
"216" -77.084918 38.848454 4 7 31061 215
"217" -77.029417 38.987 7 8 32006 216
"218" -77.063586 38.90849 11 8 31312 217
"219" -77.100555 38.854691 4 7 31062 218
"220" -77.069956 38.955016 12 11 31310 219
"221" -77.038359 38.908142 9 10 31267 220
"222" -77.0352 38.92333 12 3 31117 221
"223" -76.995193 38.889988 0 11 31629 222
"224" -77.017669 38.912659 6 9 31509 223
"225" -76.983326 38.889908 8 3 31630 224
"226" -76.994749 38.897274 4 11 31631 225
"227" -76.978924 38.927095 7 8 31510 226
"228" -76.983575 38.897195 12 7 31632 227
"229" -76.990955 38.928644 10 5 31511 228
"230" -76.957461 38.884085 3 8 31709 229
"231" -76.999388 38.843222 8 3 31800 230
"232" -76.990037 38.863897 7 4 31807 231
"233" -76.987211 38.903732 6 9 31512 232
"234" -77.029779 38.916794 11 11 31268 233
"235" -77.105022 38.852248 7 4 31063 234
"236" -77.087323 38.834108 10 5 31064 235
"237" -77.08596 38.880705 7 4 31065 236
"238" -77.072315 38.867262 4 7 31066 237
"239" -77.001955 38.887378 9 6 31269 238
"240" -77.02324 38.894851 6 9 31270 239
"241" -77.01597 38.917622 6 9 31118 240
"242" -77.004746 38.918155 14 5 31513 241
"243" -77.013917 38.892275 10 17 31271 242
"244" -77.01397 38.88731 12 13 31272 243
"245" -77.026154 38.887397 10 5 31633 244
"246" -76.997194 38.927497 8 7 31514 245
"247" -77.086599 38.862478 5 7 31067 246
"248" -77.11153 38.856319 7 8 31068 247
"249" -77.107906 38.871822 9 2 31069 248
"250" -77.023082 38.985404 8 7 32001 249
"251" -77.097426 38.981103 8 10 32002 250
"252" -77.09221 38.983838 7 4 32003 251
"253" -77.192672 39.096312 9 10 32004 252
"254" -77.202501 39.093783 11 8 32005 253
"255" -77.096539 38.988562 3 8 32000 254
"256" -77.151291 39.084125 9 6 32007 255
"257" -77.098029 38.98954 5 6 32008 256
"258" -77.145213 39.094772 7 3 32009 257
"259" -77.011336 38.98128 7 8 32010 258
"260" -77.006311 38.983627 9 10 32011 259
"261" -77.02918 38.99521 7 12 32012 260
"262" -77.095367 38.983525 7 4 32013 261
"263" -77.085998 38.961763 11 8 32014 262
"264" -77.031887 38.921074 9 6 31119 263
"265" -77.0024 38.87501 3 16 31634 264
"266" -77.025672 38.920387 11 8 31120 265
"267" -76.994468 38.876737 6 9 31635 266
"268" -77.156985 39.120045 9 6 32015 267
"269" -77.188014 39.099376 8 7 32016 268
"270" -77.149443 39.083705 8 7 32017 269
"271" -77.15741 39.123513 9 6 32018 270
"272" -77.02935 38.990249 7 8 32019 271
"273" -77.152072 39.107709 8 7 32020 272
"274" -77.091991 38.982456 8 6 32021 273
"275" -77.00149 39.000578 8 7 32022 274
"276" -77.159048 39.095661 10 11 32023 275
"277" -77.023854 38.989724 4 7 32024 276
